40,800,84.763
40,800,84.969
40,800,84.649
40,900,85.315
40,900,85.365
40,900,85.281
40,1000,85.526
40,1000,85.539
40,1000,85.605
40,1100,85.073
40,1100,85.178
40,1100,84.848
40,1200,83.517
40,1200,83.897
40,1200,83.591
35,800,86.538
35,800,87.095
35,800,86.524
35,900,86.971
35,900,87.273
35,900,87.54
35,1000,87.075
35,1000,87.459
35,1000,87.36
35,1100,87.252
35,1100,86.889
35,1100,87.11
35,1200,85.689
35,1200,85.861
35,1200,85.591
30,800,87.722
30,800,87.559
30,800,87.508
30,900,88.39
30,900,88.186
30,900,88.183
30,1000,88.339
30,1000,88.24
30,1000,88.661
30,1100,87.298
30,1100,87.366
30,1100,87.411
30,1200,86.786
30,1200,86.177
30,1200,86.162
25,800,87.621
25,800,87.159
25,800,87.678
25,900,88.342
25,900,87.707
25,900,87.766
25,1000,87.918
25,1000,88.595
25,1000,88.441
25,1100,87.511
25,1100,87.817
25,1100,87.223
25,1200,85.957
25,1200,86.702
25,1200,86.01
20,800,86.19
20,800,86.237
20,800,86.109
20,900,86.794
20,900,87.084
20,900,86.865
20,1000,86.599
20,1000,86.938
20,1000,86.72
20,1100,86.233
20,1100,86.63
20,1100,85.897
20,1200,85.251
20,1200,85.145
20,1200,85.12
